,id,source,timestamp,Time,Lat,Lon,Depth,NOX,Bt,Bij,Bl
0,NOX,SimSenN,2008-08-23 00:00:06,0,47.505,-122.215,0.0,0.4000000059604645,0,9,54
1,NOX,SimSenN,2008-08-23 00:30:06,1800,47.50502083333333,-122.21501388888888,0.0,0.3317427635192871,1,9,54
2,NOX,SimSenN,2008-08-23 01:00:06,3600,47.50504166666667,-122.21502777777778,0.0,0.24461451172828674,2,9,54
3,NOX,SimSenN,2008-08-23 01:30:06,5400,47.5050625,-122.21504166666666,0.0,0.15250924229621887,3,9,54
4,NOX,SimSenN,2008-08-23 02:00:06,7200,47.50508333333334,-122.21505555555557,0.0,0.3300677239894867,4,9,54
5,NOX,SimSenN,2008-08-23 02:30:06,9000,47.50510416666667,-122.21506944444444,0.0,0.3125343322753906,5,9,54
6,NOX,SimSenN,2008-08-23 03:00:06,10800,47.505125,-122.21508333333334,0.0,0.29245632886886597,6,9,54
7,NOX,SimSenN,2008-08-23 03:30:06,12600,47.50514583333334,-122.21509722222224,0.0,0.2669127583503723,7,9,54
8,NOX,SimSenN,2008-08-23 04:00:06,14400,47.50516666666667,-122.21511111111111,0.0,0.24698671698570251,8,9,54
9,NOX,SimSenN,2008-08-23 04:30:06,16200,47.505187500000005,-122.215125,0.0,0.22158579528331757,9,9,54
10,NOX,SimSenN,2008-08-23 05:00:06,18000,47.505208333333336,-122.21513888888887,0.0,0.20195047557353973,10,9,54
11,NOX,SimSenN,2008-08-23 05:30:06,19800,47.505229166666666,-122.21515277777776,0.0,0.17599529027938843,11,9,54
12,NOX,SimSenN,2008-08-23 06:00:06,21600,47.50525,-122.21516666666668,0.0,0.15236647427082062,12,9,54
13,NOX,SimSenN,2008-08-23 06:30:06,23400,47.50527083333333,-122.21518055555556,0.0,0.1235838308930397,13,9,54
14,NOX,SimSenN,2008-08-23 07:00:06,25200,47.50529166666667,-122.21519444444444,0.0,0.09424876421689987,14,9,54
15,NOX,SimSenN,2008-08-23 07:30:06,27000,47.5053125,-122.21520833333334,0.0,0.03898288309574127,15,9,54
16,NOX,SimSenN,2008-08-23 08:00:06,28800,47.50533333333333,-122.21522222222222,0.0,0.0008423884282819927,16,9,54
17,NOX,SimSenN,2008-08-23 08:30:06,30600,47.50535416666667,-122.21523611111112,0.0,0.001056596403941512,17,9,54
18,NOX,SimSenN,2008-08-23 09:00:06,32400,47.505375,-122.21525,0.0,0.0013144545955583453,18,9,54
19,NOX,SimSenN,2008-08-23 09:30:06,34200,47.50539583333334,-122.2152638888889,0.0,0.0017570883501321077,19,9,54
20,NOX,SimSenN,2008-08-23 10:00:06,36000,47.50541666666667,-122.2152777777778,0.0,0.0028406863566488028,20,9,54
21,NOX,SimSenN,2008-08-23 10:30:06,37800,47.5054375,-122.21529166666669,0.0,0.0031690970063209534,21,9,54
22,NOX,SimSenN,2008-08-23 11:00:06,39600,47.50545833333334,-122.21530555555556,0.0,0.0026050747837871313,22,9,54
23,NOX,SimSenN,2008-08-23 11:30:06,41400,47.50547916666667,-122.21531944444445,0.0,0.001061186078004539,23,9,54
24,NOX,SimSenN,2008-08-23 12:00:06,43200,47.505500000000005,-122.21533333333332,0.0,0.0006810530321672559,24,9,54
25,NOX,SimSenN,2008-08-23 12:30:06,45000,47.505520833333335,-122.21534722222222,0.0,0.0006185544189065695,25,9,54
26,NOX,SimSenN,2008-08-23 13:00:06,46800,47.505541666666666,-122.21536111111112,0.0,0.0005807424313388765,26,9,54
27,NOX,SimSenN,2008-08-23 13:30:06,48600,47.5055625,-122.215375,0.0,0.0005466625443659723,27,9,54
28,NOX,SimSenN,2008-08-23 14:00:06,50400,47.50558333333333,-122.2153888888889,0.0,0.0005230957758612931,28,9,54
29,NOX,SimSenN,2008-08-23 14:30:06,52200,47.50560416666667,-122.21540277777778,0.0,0.0005013335030525923,29,9,54
30,NOX,SimSenN,2008-08-23 15:00:06,54000,47.505625,-122.21541666666668,0.0,0.0004863421490881592,30,9,54
31,NOX,SimSenN,2008-08-23 15:30:06,55800,47.50564583333333,-122.21543055555556,0.0,0.0004747045168187469,31,9,54
32,NOX,SimSenN,2008-08-23 16:00:06,57600,47.50566666666667,-122.21544444444444,0.0,0.00047666841419413686,32,9,54
33,NOX,SimSenN,2008-08-23 16:30:06,59400,47.5056875,-122.21545833333332,0.0,0.0004800416063517332,33,9,54
34,NOX,SimSenN,2008-08-23 17:00:06,61200,47.50570833333334,-122.21547222222225,0.0,0.00049628532724455,34,9,54
35,NOX,SimSenN,2008-08-23 17:30:06,63000,47.50572916666667,-122.21548611111112,0.0,0.000510592944920063,35,9,54
36,NOX,SimSenN,2008-08-23 18:00:06,64800,47.505750000000006,-122.2155,0.0,0.0005294812144711614,36,9,54
37,NOX,SimSenN,2008-08-23 18:30:06,66600,47.50577083333334,-122.21551388888888,0.0,0.0005475464859046042,37,9,54
38,NOX,SimSenN,2008-08-23 19:00:06,68400,47.50579166666667,-122.21552777777778,0.0,0.0005792779847979546,38,9,54
39,NOX,SimSenN,2008-08-23 19:30:06,70200,47.505812500000005,-122.21554166666668,0.0,0.0006359847029671073,39,9,54
40,NOX,SimSenN,2008-08-23 20:00:06,72000,47.505833333333335,-122.21555555555555,0.0,0.0006918508443050086,40,9,54
41,NOX,SimSenN,2008-08-23 20:30:06,73800,47.50585416666667,-122.21556944444444,0.0,0.0007324651814997196,41,9,54
42,NOX,SimSenN,2008-08-23 21:00:06,75600,47.505875,-122.21558333333334,0.0,0.0007458060281351209,42,9,54
43,NOX,SimSenN,2008-08-23 21:30:06,77400,47.50589583333333,-122.21559722222224,0.0,0.0007166031864471734,43,9,54
44,NOX,SimSenN,2008-08-23 22:00:06,79200,47.50591666666667,-122.21561111111112,0.0,0.0006838073604740202,44,9,54
45,NOX,SimSenN,2008-08-23 22:30:06,81000,47.5059375,-122.215625,0.0,0.0006541308830492198,45,9,54
46,NOX,SimSenN,2008-08-23 23:00:06,82800,47.50595833333334,-122.21563888888888,0.0,0.0006428725318983197,46,9,54
47,NOX,SimSenN,2008-08-23 23:30:06,84600,47.50597916666667,-122.21565277777778,0.0,0.0006793475477024913,47,9,54
48,NOX,SimSenN,2008-08-24 00:00:06,0,47.506,-122.21566666666666,0.0,0.4000000059604645,0,9,54
49,NOX,SimSenN,2008-08-24 00:30:06,1800,47.50602083333334,-122.21568055555556,0.0,0.3317427635192871,1,9,54
50,NOX,SimSenN,2008-08-24 01:00:06,3600,47.50604166666667,-122.21569444444444,0.0,0.24461451172828674,2,9,54
51,NOX,SimSenN,2008-08-24 01:30:06,5400,47.506062500000006,-122.21570833333334,0.0,0.15250924229621887,3,9,54
52,NOX,SimSenN,2008-08-24 02:00:06,7200,47.506083333333336,-122.21572222222224,0.0,0.3300677239894867,4,9,54
53,NOX,SimSenN,2008-08-24 02:30:06,9000,47.50610416666667,-122.21573611111111,0.0,0.3125343322753906,5,9,54
54,NOX,SimSenN,2008-08-24 03:00:06,10800,47.506125,-122.21575,0.0,0.29245632886886597,6,9,54
55,NOX,SimSenN,2008-08-24 03:30:06,12600,47.506145833333335,-122.21576388888889,0.0,0.2669127583503723,7,9,54
56,NOX,SimSenN,2008-08-24 04:00:06,14400,47.50616666666667,-122.21577777777776,0.0,0.24698671698570251,8,9,54
57,NOX,SimSenN,2008-08-24 04:30:06,16200,47.5061875,-122.21579166666668,0.0,0.22158579528331757,9,9,54
58,NOX,SimSenN,2008-08-24 05:00:06,18000,47.50620833333333,-122.21580555555556,0.0,0.20195047557353973,10,9,54
59,NOX,SimSenN,2008-08-24 05:30:06,19800,47.50622916666667,-122.21581944444443,0.0,0.17599529027938843,11,9,54
60,NOX,SimSenN,2008-08-24 06:00:06,21600,47.50625,-122.21583333333334,0.0,0.15236647427082062,12,9,54
61,NOX,SimSenN,2008-08-24 06:30:06,23400,47.50627083333334,-122.21584722222222,0.0,0.1235838308930397,13,9,54
62,NOX,SimSenN,2008-08-24 07:00:06,25200,47.50629166666667,-122.21586111111112,0.0,0.09424876421689987,14,9,54
63,NOX,SimSenN,2008-08-24 07:30:06,27000,47.5063125,-122.215875,0.0,0.03898288309574127,15,9,54
64,NOX,SimSenN,2008-08-24 08:00:06,28800,47.50633333333334,-122.2158888888889,0.0,0.0008423884282819927,16,9,54
65,NOX,SimSenN,2008-08-24 08:30:06,30600,47.50635416666667,-122.2159027777778,0.0,0.001056596403941512,17,9,54
66,NOX,SimSenN,2008-08-24 09:00:06,32400,47.506375000000006,-122.21591666666669,0.0,0.0013144545955583453,18,9,54
67,NOX,SimSenN,2008-08-24 09:30:06,34200,47.506395833333336,-122.21593055555556,0.0,0.0017570883501321077,19,9,54
68,NOX,SimSenN,2008-08-24 10:00:06,36000,47.50641666666667,-122.21594444444445,0.0,0.0028406863566488028,20,9,54
69,NOX,SimSenN,2008-08-24 10:30:06,37800,47.5064375,-122.21595833333332,0.0,0.0031690970063209534,21,9,54
70,NOX,SimSenN,2008-08-24 11:00:06,39600,47.506458333333335,-122.21597222222222,0.0,0.0026050747837871313,22,9,54
71,NOX,SimSenN,2008-08-24 11:30:06,41400,47.50647916666667,-122.2159861111111,0.0,0.001061186078004539,23,9,54
72,NOX,SimSenN,2008-08-24 12:00:06,43200,47.5065,-122.216,0.0,0.0006810530321672559,24,9,54
73,NOX,SimSenN,2008-08-24 12:30:06,45000,47.50652083333333,-122.2160138888889,0.0,0.0006185544189065695,25,9,54
74,NOX,SimSenN,2008-08-24 13:00:06,46800,47.50654166666667,-122.21602777777778,0.0,0.0005807424313388765,26,9,54
75,NOX,SimSenN,2008-08-24 13:30:06,48600,47.5065625,-122.21604166666668,0.0,0.0005466625443659723,27,9,54
76,NOX,SimSenN,2008-08-24 14:00:06,50400,47.50658333333334,-122.21605555555556,0.0,0.0005230957758612931,28,9,54
77,NOX,SimSenN,2008-08-24 14:30:06,52200,47.50660416666667,-122.21606944444444,0.0,0.0005013335030525923,29,9,54
78,NOX,SimSenN,2008-08-24 15:00:06,54000,47.506625,-122.21608333333332,0.0,0.0004863421490881592,30,9,54
79,NOX,SimSenN,2008-08-24 15:30:06,55800,47.50664583333334,-122.21609722222225,0.0,0.0004747045168187469,31,9,54
80,NOX,SimSenN,2008-08-24 16:00:06,57600,47.50666666666667,-122.21611111111112,0.0,0.00047666841419413686,32,9,54
81,NOX,SimSenN,2008-08-24 16:30:06,59400,47.506687500000005,-122.216125,0.0,0.0004800416063517332,33,9,54
82,NOX,SimSenN,2008-08-24 17:00:06,61200,47.506708333333336,-122.21613888888888,0.0,0.00049628532724455,34,9,54
83,NOX,SimSenN,2008-08-24 17:30:06,63000,47.506729166666666,-122.21615277777778,0.0,0.000510592944920063,35,9,54
84,NOX,SimSenN,2008-08-24 18:00:06,64800,47.50675,-122.21616666666668,0.0,0.0005294812144711614,36,9,54
85,NOX,SimSenN,2008-08-24 18:30:06,66600,47.50677083333333,-122.21618055555555,0.0,0.0005475464859046042,37,9,54
86,NOX,SimSenN,2008-08-24 19:00:06,68400,47.50679166666667,-122.21619444444444,0.0,0.0005792779847979546,38,9,54
87,NOX,SimSenN,2008-08-24 19:30:06,70200,47.5068125,-122.21620833333334,0.0,0.0006359847029671073,39,9,54
88,NOX,SimSenN,2008-08-24 20:00:06,72000,47.50683333333333,-122.21622222222224,0.0,0.0006918508443050086,40,9,54
89,NOX,SimSenN,2008-08-24 20:30:06,73800,47.50685416666667,-122.21623611111112,0.0,0.0007324651814997196,41,9,54
90,NOX,SimSenN,2008-08-24 21:00:06,75600,47.506875,-122.21625,0.0,0.0007458060281351209,42,9,54
91,NOX,SimSenN,2008-08-24 21:30:06,77400,47.50689583333334,-122.21626388888888,0.0,0.0007166031864471734,43,9,54
92,NOX,SimSenN,2008-08-24 22:00:06,79200,47.50691666666667,-122.21627777777778,0.0,0.0006838073604740202,44,9,54
93,NOX,SimSenN,2008-08-24 22:30:06,81000,47.5069375,-122.21629166666666,0.0,0.0006541308830492198,45,9,54
94,NOX,SimSenN,2008-08-24 23:00:06,82800,47.50695833333334,-122.21630555555556,0.0,0.0006428725318983197,46,9,54
95,NOX,SimSenN,2008-08-24 23:30:06,84600,47.50697916666667,-122.21631944444444,0.0,0.0006793475477024913,47,9,54
96,NOX,SimSenN,2008-08-25 00:00:06,0,47.507000000000005,-122.21633333333334,0.0,0.4000000059604645,0,9,54
97,NOX,SimSenN,2008-08-25 00:30:06,1800,47.507020833333335,-122.21634722222224,0.0,0.3317427635192871,1,9,54
98,NOX,SimSenN,2008-08-25 01:00:06,3600,47.507041666666666,-122.21636111111113,0.0,0.24461451172828674,2,9,54
